# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        9.277       18.340
       0.108       97.500       21.215      648.910
       0.221       96.500      230.332     3376.758
       0.335      106.400      601.102     3376.758
       0.447       96.000      843.551     3378.859
       0.562       79.500      872.719     3391.215
       0.675      104.600      919.887     3415.008
       0.790      106.100      925.152     3419.316
       0.903       96.000      942.422     3498.293
       1.017       97.000      952.043     3511.824
       1.131      104.600      961.488     3524.262
       1.246       61.700      972.449     3644.332
       1.359       95.800      966.715     3601.504
       1.474       97.600      966.715     3601.504
       1.587      106.700      967.793     3602.160
       1.699       95.800      973.789     3608.457
       1.814       97.400      980.109     3615.348
       1.927       52.200     1001.758     3651.367
       2.042      123.200     1014.617     4284.441
       2.156      104.500     1248.750     7012.289
       2.270       97.000     1629.094     7012.289
       2.384      105.300     1844.949     7016.348
       2.498       70.600     1869.125     7026.938
       2.611      104.400     1918.480     7052.215
       2.726      105.800     1931.648     7127.855
       2.840       95.900     1940.465     7136.730
       2.954       97.200     1948.719     7148.121
       3.067      104.400     1959.820     7162.695
       3.182       97.800     1966.980     7169.863
       3.295       95.400     1973.918     7177.281
       3.410       97.200     1995.660     7269.027
       3.523        0.000     1995.660     7269.027
       3.638        8.900     1995.660     7269.027
       3.751        0.000     1995.660     7269.027
       3.866       17.600     1995.660     7269.027
       3.980       34.900     1995.660     7269.027
       4.094       44.100     1995.660     7269.027
       4.208       52.200     1995.660     7269.027
       4.323       62.100     1995.660     7269.027
       4.435       52.100     1995.660     7269.027
       4.551       53.000     1995.660     7269.027
       4.664       52.600     1995.660     7269.027
       4.778       61.600     1995.660     7269.027
       4.891       52.300     1995.660     7269.027
       5.006       53.300     1995.660     7269.027
       5.119       62.500     1995.660     7269.027
       5.231       44.100     1995.660     7269.027
       5.344       52.300     1995.660     7269.027
       5.459       44.200     1995.660     7269.027
       5.572       52.300     1995.660     7269.027
       5.686       44.500     1995.660     7269.027
       5.799       34.900     1995.660     7269.027
       5.914       43.900     1995.660     7269.027
       6.027       43.400     1995.660     7269.027
       6.142       44.300     1995.660     7269.027
       6.255       61.800     1995.660     7269.027
       6.369       52.700     1995.660     7269.027
       6.482       53.200     1995.660     7269.027
       6.595       52.000     1995.660     7269.027
       6.711       61.700     1995.660     7269.027
       6.824       52.500     1995.660     7269.027
       6.938       52.800     1995.660     7269.027
       7.052       61.300     1995.660     7269.027
       7.166       61.600     1995.660     7269.027
       7.280       61.300     1995.660     7269.027
       7.394       44.000     1995.660     7269.027
       7.507       61.900     1995.660     7269.027
       7.621       61.600     1995.660     7269.027
       7.734       52.900     1995.660     7269.027
       7.848       70.100     1995.660     7269.027
       7.962       53.100     1995.660     7269.027
       8.075       61.000     1995.660     7269.027
       8.189       52.600     1995.660     7269.027
       8.303       44.100     1995.660     7269.027
       8.417       52.800     1995.660     7269.027
       8.530       53.000     1995.660     7269.027
       8.644       43.900     1995.660     7269.027
       8.758       52.000     1995.660     7269.027
       8.873       43.700     1995.660     7269.027
       8.987       43.400     1995.660     7269.027
       9.102       44.400     1995.660     7269.027
       9.215       34.800     1995.660     7269.027
       9.330       44.100     1995.660     7269.027
       9.444       35.300     1995.660     7269.027
       9.557       43.800     1995.660     7269.027
       9.671       34.700     1995.660     7269.027
       9.786       44.200     1995.660     7269.027
       9.899       34.800     1995.660     7269.027
      10.015       34.200     1995.660     7269.027
      10.132       34.800     1995.660     7269.027
      10.246       35.300     1995.660     7269.027
      10.360       35.100     1995.660     7269.027
      10.474       35.200     1995.660     7269.027
      10.587       44.100     1995.660     7269.027
      10.701       26.200     1995.660     7269.027
      10.815       35.300     1995.660     7269.027
      10.928       34.900     1995.660     7269.027
      11.043       26.100     1995.660     7269.027
      11.158       52.800     1995.660     7269.027
      11.271       26.100     1995.660     7269.027
      11.386       35.300     1995.660     7269.027
      11.500       35.100     1995.660     7269.027
      11.614       26.700     1995.660     7269.027
      11.726       17.800     1995.660     7269.027
      11.838       26.500     1995.660     7269.027
      11.952       34.900     1995.660     7269.027
      12.066       26.700     1995.660     7269.027
      12.179       26.100     1995.660     7269.027
      12.294       26.600     1995.660     7269.027
      12.407       26.000     1995.660     7269.027
      12.522       26.400     1995.660     7269.027
      12.636       35.100     1995.660     7269.027
      12.750       17.700     1995.660     7269.027
      12.863       26.700     1995.660     7269.027
      12.975       26.100     1995.660     7269.027
      13.090       26.500     1995.660     7269.027
      13.203       26.300     1995.660     7269.027
      13.318       26.500     1995.660     7269.027
      13.431       26.600     1995.660     7269.027
      13.544       26.200     1995.660     7269.027
      13.658       26.500     1995.660     7269.027
      13.771       26.100     1995.660     7269.027
      13.886       17.700     1995.660     7269.027
      13.999       26.100     1995.660     7269.027
      14.114       26.800     1995.660     7269.027
      14.226       26.800     1995.660     7269.027
      14.338       26.500     1995.660     7269.027
      14.452       17.400     1995.660     7269.027
      14.566       17.700     1995.660     7269.027
      14.680       26.500     1995.660     7269.027
      14.793       26.300     1995.660     7269.027
      14.907       34.700     1995.660     7269.027
      15.022       17.500     1995.660     7269.027
      15.136       26.000     1995.660     7269.027
      15.252       17.500     1995.660     7269.027
      15.366       26.400     1995.660     7269.027
      15.479       26.200     1995.660     7269.027
      15.594       26.500     1995.660     7269.027
      15.708       17.400     1995.660     7269.027
      15.822       35.500     1995.660     7269.027
      15.935       17.400     1995.660     7269.027
      16.050       26.400     1995.660     7269.027
      16.163       26.100     1995.660     7269.027
      16.278       17.700     1995.660     7269.027
      16.392       26.300     1995.660     7269.027
      16.506       17.600     1995.660     7269.027
      16.619       35.300     1995.660     7269.027
      16.733       17.500     1995.660     7269.027
      16.847       26.800     1995.660     7269.027
      16.959       26.000     1995.660     7269.027
      17.074       26.700     1995.660     7269.027
      17.186       26.600     1995.660     7269.027
      17.299       26.100     1995.660     7269.027
      17.414       26.500     1995.660     7269.027
      17.528       26.100     1995.660     7269.027
      17.642       17.700     1995.660     7269.027
      17.755       26.400     1995.660     7269.027
      17.869       26.400     1995.660     7269.027
      17.982       17.700     1995.660     7269.027
      18.095       26.300     1995.660     7269.027
      18.210       26.400     1995.660     7269.027
      18.323       17.400     1995.660     7269.027
      18.438       26.600     1995.660     7269.027
      18.551       26.100     1995.660     7269.027
      18.666       26.500     1995.660     7269.027
      18.779       26.100     1995.660     7269.027
      18.894       26.600     1995.660     7269.027
